Run_Accession_Number	Temperature	Depth	Oxygen	Chlorophyll_A	Salinity	Iron_5m	Ammonium_5m	Shannon_Diversity
ERR2762100	10.79018	40	266.473125	61.7749	35.335155	0.000426156	0.007189205	6.63622978622618
ERR2762102	8.923581	751	208.76175	NA	35.40565	0.000426156	0.007189205	6.35062496940667
ERR2762104	11.09547	5	271.064125	74.1214	35.32522	0.000426156	0.007189205	2.74963746679235
ERR2762106	6.73489	25	304.0473	46.1766	35.15072	0.000599484	0.023701385	5.53661210298331
ERR2762108	0.22498	651	295.31095	39.0691	34.90349	0.000599484	0.023701385	3.94709287489364
ERR2762110	8.47447	5	311.7827	45.8727	35.145165	0.000599484	0.023701385	5.67746122156037
ERR2762112	0.099535	499	315.37205	149.8624	34.94578	0.000874157	0.014557052	4.38858769996491
ERR2762114	1.899612	5	363.000813	109.6568	34.888656	0.000874157	0.014557052	3.99146353763639
ERR2762116	3.824545	40	326.3609	40.8031	34.975345	0.000430005	0.006979311	6.51184749265148
ERR2762118	3.1072	NA	303.31905	46.8143	34.978285	0.000430005	0.006979311	6.71499911014522
ERR2762120	7.48766	5	299.0073	48.5056	34.92331	0.000430005	0.006979311	6.35712400406529
ERR2762122	-1.29785	35	348.000625	85.1855	34.4561	0.001215531	0.004081616	6.37320361217375
ERR2762124	-0.160312	5	385.28075	85.1855	33.613775	0.001215531	0.004081616	5.75380021086936
ERR2762126	1.025705	NA	314.71675	65.2634	34.691775	0.00109338	0.000589373	4.84765174251606
ERR2762128	1.365705	5	369.289812	124.7503	34.264755	0.00109338	0.000589373	6.31114726024353
ERR2762130	1.47689	199	296.228	33.7079	34.8814	0.00109338	0.000589373	4.91270933062705
ERR2762132	1.325833	5	348.196667	62.2831	34.142392	0.001328503	0.003428314	5.76205006788581
ERR2762134	2.507887	5	357.164917	17.6348	22.980169	0.001387656	0.003474399	6.2108154270766
ERR2762136	-1.533492	30	356.223917	17.6348	33.646092	0.001387656	0.003474399	6.48120991361501
ERR2762138	-1.647244	17	373.061	16.1385	33.436706	0.001304139	0.002257904	6.69977848306854
ERR2762140	-1.649738	5	388.303875	16.1385	32.950844	0.001304139	0.002257904	6.6942267398335
ERR2762142	-0.607125	20	371.05845	28.4383	32.726735	0.001270051	0.000620584	7.16741367579212
ERR2762144	1.59404	299	293.889	36.3938	34.92558	0.001270051	0.000620584	6.98722819345254
ERR2762146	0.10149	5	363.6485	29.3207	28.82053	0.001270051	0.000620584	7.24762470002397
ERR2762148	1.48885	5	340.44375	NA	28.41685	0.001360622	0.000260443	7.33408153950058
ERR2762150	2.4534	5	339.4475	15.1918	29.0291	0.000702537	0.006029853	7.29944221917235
ERR2762153	-0.987833	35	396.848083	23.5982	31.56495	0.000713809	0.002943427	6.97687954521547
ERR2762155	-0.585333	5	368.662625	13.8046	27.442	0.000713809	0.002943427	7.37631919828267
ERR2762157	2.5694	5	336.04075	24.1722	28.60925	0.000241071	0.0284539	7.2404811062397
ERR2762159	-0.409335	36	343.877833	41.7722	31.947283	0.000958759	0.000747411	7.06562977856852
ERR2762162	0.994025	441	233.314	49.4242	34.342505	0.000958759	0.000747411	6.10654377412387
ERR2762164	-1.32986	5	368.52475	40.7346	30.70185	0.000958759	0.000747411	7.16677072267333
ERR2762167	1.230869	491	227.316	69.2259	34.378169	0.000596423	0.018947516	6.63985430795541
ERR2762169	-0.479225	5	353.1935	15.8867	31.99537	0.000596423	0.018947516	7.10095445938102
ERR2762171	3.03554	411	230.0861	38.3162	34.50669	0.000494336	0.022793755	6.2158639652696
ERR2762173	1.445315	5	328.54665	37.4641	32.08329	0.000494336	0.022793755	7.06684871389752
ERR2762176	3.1965	5	303.326	30.485	32.99175	0.000453137	0.020453628	7.32136754308314
ERR2762178	4.20173	351	273.02835	45.1248	34.59923	0.000488831	0.029433576	6.13132534168166
ERR2762180	2.496125	5	323.901563	14.5225	32.603119	0.000488831	0.029433576	5.8534523376444
ERR2762183	4.791395	391	271.8744	37.6205	34.939595	0.000208521	0.035179306	6.45983259416675
ERR2762186	5.295265	5	293.84675	45.5689	34.212769	0.000208521	0.035179306	7.33751487147005
ERR594352	18.30575	60	238.694625	16.0651	37.84945	0.001387895	0.009119561	7.3366390100112
ERR594353	19.77001	5	215.2007	30.7687	36.35839	0.000787816	0.015283077	6.54626804633397
ERR594354	23.374825	5	206.23185	15.618	37.076575	0.000776878	0.011959192	6.49042651870095
ERR594355	21.16596	150	200.32465	14.9669	36.61951	0.000776878	0.011959192	6.37397624626994
ERR594356	27.089113	5	193.065313	19.6168	36.310588	0.00138772	0.0255102	6.98258713117035
ERR594358	21.48665	5	208.245	15.9449	37.89575	0.001387895	0.009119561	6.07841276183568
ERR594360	26.12925	80	181.501	12.1137	40.187042	0.001387787	0.020147547	3.4364284241441
ERR594361	21.76357	5	207.5812	19.1614	35.449638	0.000760815	0.009926958	6.43441702920283
ERR594362	15.013362	5	239.93725	32.4091	35.3233	0.000311999	0.019386057	5.58165175200891
ERR594363	26.692435	25	187.47615	29.1818	36.40162	0.00138772	0.0255102	6.98320663045277
ERR594364	25.064425	5	199.135	24.6699	36.41678	0.001262169	0.011292624	6.93289544268838
ERR594369	25.681369	5	209.807083	17.3041	36.525962	0.001387736	0.028902045	7.06288762883983
ERR594370	27.635025	5	183.84625	16.8349	38.64	0.001387755	0.015265826	6.95215341108372
ERR594371	27.374181	60	164.440063	20.922	36.503531	0.001387699	0.020277846	6.53315836016718
ERR594375	15.181967	50	229.908917	14.0094	38.489083	0.001387952	0.002326648	6.44124841881539
ERR594376	30.12475	5	185.755	12.9179	35.1113	0.001279924	0.016438504	6.87249180988189
ERR594377	-0.792395	90	326.6803	49.5816	34.36258	0.000451463	0.007686064	7.02716236605445
ERR594379	23.630095	100	190.5966	19.3094	36.588225	0.001262169	0.011292624	7.18627177813352
ERR594384	29.151544	5	187.306625	11.3189	36.0499	0.001387699	0.020277846	7.03202758108454
ERR594385	22.215305	65	207.9566	22.7117	35.346195	0.00080341	0.010198253	7.0004124719261
ERR594386	25.607735	25	189.0233	25.3921	36.549506	0.001387726	0.030032598	6.85337293005042
ERR594387	26.019185	30	199.8303	29.3943	34.475915	4.994e-06	0.038657464	7.18807489318463
ERR594388	4.641719	800	143.273625	21.9764	34.476312	0.001262169	0.011292624	6.51994039230514
ERR594389	15.014	30	239.791063	23.3045	35.32305	0.000311999	0.019386057	5.5947200366232
ERR594390	27.558763	60	175.509	15.5123	38.895025	0.001387755	0.015265826	7.09433723713234
ERR594391	16.8632	5	234.4763	53.8288	35.686585	0.00036828	0.015807986	6.43589554689577
ERR594392	22.2414	5	210.2395	21.9223	35.32467	0.00080341	0.010198253	6.47903957196852
ERR594393	25.811708	5	188.341917	15.588	39.7709	0.001387787	0.020147547	7.33241204874146
ERR594394	25.212642	75	194.81775	38.1381	34.896833	0.001048266	0.01050256	6.92882587365981
ERR594395	13.04322	5	252.63145	27.5271	34.870735	0.000415882	0.043375768	7.20287451058307
ERR594396	18.319192	5	217.809833	13.5684	38.185333	0.001387952	0.002326648	6.89452315985565
ERR594398	30.12785	5	188.79575	13.9222	34.56775	0.001387698	0.015891551	6.8779433760713
ERR594400	26.313595	5	187.7395	20.3622	36.618044	0.001387726	0.030032598	7.01861396509582
ERR594401	25.0281	5	189.91675	18.4528	39.96035	0.001387113	0.011221905	6.48589780465878
ERR594402	25.329231	17	206.568833	23.0626	36.535819	0.001387736	0.028902045	7.24273299436604
ERR594405	18.61621	70	218.75115	13.8349	39.23456	0.001388157	0.003270233	7.23263344872286
ERR594406	17.298758	5	221.54775	15.3656	37.839767	0.001388038	0.001792418	7.1802443143532
ERR594407	4.188237	800	161.92525	52.3938	34.446963	0.000787816	0.015283077	4.24317853530756
ERR594408	15.180558	55	224.264417	18.4584	38.47375	0.001387878	0.001431253	7.21624058202481
ERR594409	7.154875	40	306.1555	58.0487	34.05055	0.000290781	0.125833504	6.1663031863511
ERR594411	20.07775	5	221.13845	20.9027	36.32553	0.000862562	0.017718557	6.73974687182734
ERR594412	27.497475	5	199.6911	39.5787	33.472445	4.994e-06	0.038657464	6.68410862612694
ERR594413	27.9561	80	137.998083	18.4882	35.044342	0.001387698	0.015891551	6.89835697423842
ERR594414	21.72823	30	207.48285	14.9089	35.451512	0.000760815	0.009926958	6.3106836694379
ERR594415	16.74878	50	231.9774	53.8288	35.68407	0.00036828	0.015807986	7.1367415976547
ERR599337	26.80604	5	187.3321	43.5563	35.42651	2.359e-06	0.01748565	7.52235142911417
ERR599338	23.681605	140	160.81445	36.2207	36.28145	2.359e-06	0.01748565	7.0730673566562
ERR599339	NA	5	NA	20.3338	NA	0.000909214	0.012337432	7.16225750673364
ERR599340	20.58574	40	123.201	34.1609	34.366025	4.212e-06	0.016200179	7.01809267048616
ERR599341	7.133995	600	40.6107	52.2311	34.5789	2.316e-06	0.030111594	5.64395400139701
ERR599342	25.349495	5	201.0109	47.9246	35.82876	3.277e-06	0.018424854	7.43251537142056
ERR599344	29.818108	5	187.35	24.5376	34.184183	0.001209446	0.013870245	7.30685528111172
ERR599345	17.291965	60	41.52515	20.21	34.664045	4.689e-06	0.013172547	6.61941649158748
ERR599346	9.137438	480	5.148	44.464	34.692094	4.398e-06	0.034300595	6.71427704430123
ERR599348	21.97372	150	158.18405	34.0341	35.877315	2.277e-06	0.02508309	7.3734216816936
ERR599349	19.781235	40	104.9968	25.4127	34.884385	4.398e-06	0.034300595	7.10533331924547
ERR599350	27.3097	5	183.589125	17.3849	38.9435	0.001387791	0.01949049	7.11483960996644
ERR599351	7.552017	1000	190.888667	24.8736	34.572658	0.00080341	0.010198253	5.32310756465717
ERR599352	1.9034	5	338.526	36.464	33.7198	8.826e-06	0.096893812	5.7993927429908
ERR599353	24.958885	5	204.421	35.1383	34.764535	4.398e-06	0.034300595	7.37995281086443
ERR599354	26.572419	5	190.378187	40.0394	35.384031	2.459e-06	0.023188621	7.50983364677941
ERR599355	26.605515	5	196.2029	26.1396	33.52041	4.689e-06	0.013172547	NA
ERR599356	30.59345	5	186.0215	14.558	35.0481	0.001320691	0.016592899	7.38295270947423
ERR599357	22.78183	5	209.1003	40.0773	35.98269	3.007e-06	0.013075565	7.4945325101655
ERR599358	27.956483	5	191.628083	28.749	34.54545	0.001048266	0.01050256	7.03628195398844
ERR599359	22.596675	50	216.67805	47.9246	35.64227	3.277e-06	0.018424854	7.18674167220551
ERR599360	15.553795	270	3.12405	30.1842	35.907681	0.00138772	0.0255102	6.0453183412516
ERR599361	5.823213	800	215.95475	20.5432	34.355	0.000862562	0.017718557	5.55452685643526
ERR599362	25.113925	66	181.101938	21.7602	35.162694	0.001000181	0.011099947	7.15034050770177
ERR599363	26.478605	5	195.77195	25.4964	33.84798	4.212e-06	0.016200179	6.78401492072367
ERR599364	0.73159	5	344.81235	45.3945	34.327465	0.000451463	0.007686064	6.72958469940532
ERR599365	8.149894	450	1.013313	16.7658	34.608919	4.689e-06	0.013172547	5.17551207952437
ERR599366	8.887131	375	0.832313	42.9043	34.5882	4.212e-06	0.016200179	5.12056208788417
ERR599367	24.81397	120	172.42475	33.7078	35.907345	2.459e-06	0.023188621	7.51253528069124
ERR599368	10.69894	350	4.7047	36.7242	34.7072	3.007e-06	0.013075565	5.76553305368243
ERR599369	19.783275	90	208.54895	31.8491	35.69581	3.007e-06	0.013075565	6.80688870591187
ERR599370	4.664275	800	191.413187	14.2624	34.369569	0.000776878	0.011959192	6.26544091323353
ERR599371	6.195775	1000	88.88975	10.9825	34.8293	0.001008999	0.011774442	3.72505860124644
ERR599372	11.984006	600	2.81625	4.457	35.672725	0.001387737	0.028889008	5.43308492732392
ERR599373	0.456763	790	203.7715	60.7019	34.6802	0.000451463	0.007686064	6.09788140603308
ERR599374	19.32335	120	216.6547	19.6634	36.27746	0.000862562	0.017718557	6.85549003680516
ERR599375	12.806365	177	3.4942	37.0054	34.82775	3.277e-06	0.018424854	6.75700138009998
ERR599376	27.296125	5	193.165	10.9825	35.0302	0.001008999	0.011774442	6.94271894575603
ERR599377	24.661385	115	178.3692	45.3044	36.101175	2.316e-06	0.030111594	7.38054704129527
ERR599379	14.901445	340	2.9502	19.3668	36.014205	0.001387726	0.030032598	5.94594037135144
ERR599380	26.60467	5	187.07695	39.197	35.37032	2.316e-06	0.030111594	7.3959744781888
ERR599381	26.586685	5	189.6701	42.7934	35.3551	2.277e-06	0.02508309	NA
ERR599382	7.32145	700	194.4342	56.2691	34.50494	0.00036828	0.015807986	6.42060975823663
ERR599383	NA	9	NA	NA	NA	0.001387775	0.009132409	6.22011775219107
ERR599384	7.579417	5	303.147667	29.5811	34.05025	0.000290781	0.125833504	4.17576266203212
